z 在
ztel 周恩来
ztfa 总体方案
ztfn 杂费
ztfz 争锋
ztg 螽
ztgd 猪肝
ztgf 争光
ztgg 争购
ztgh 总体规划
ztgj 螽
ztgk 杂感
ztgz 债台高筑
zthf 杂货
zthi 杂烩
zthp 杂货铺
zti 炙
ztig 觯
ztij 鳟
ztir 炙
ztj 杂
ztja 鲰
ztjc 周济
ztjk 猪
ztjr 杂
ztjt 杂技团
ztju 杂技
ztjy 杂交
ztkc 自讨苦吃
ztkh 周刊
ztkl 周口
ztli 杂粮
ztlk 总体来看
ztlp 争论
ztlq 杂乱
ztls 总体来说
ztlt 猪猡
ztlw 自投罗网
ztly 周六
ztm 邹
ztmh 周末
ztml 争鸣
ztmm 皱眉
ztmo 周密
ztmq 自讨没趣
ztn 争
ztn/ 馔
ztnf 杂念
ztnj 争
ztnq 周年
ztnt 狰狞
ztp, 猪皮
ztpw 杂牌
ztqf 周全
ztqj 争取
ztqj 周期
ztql 周期律
ztqq 争气
ztqu 争抢
ztqv 旨趣
ztqx 周期性
ztr 詹
ztrg 猪肉
ztrh 政通人和
ztrs 周日
ztru 炙热
ztry 詹
zts 旨
zts 昝
ztsd 争胜
ztsf 杂食
ztsg 周岁
ztsh 周三
ztsj 杂事
ztsk 杂耍
ztsm 獐头鼠目
ztsp 总体水平
ztsw 周身
ztt 狰
zttg 杂沓
zttl 专题讨论
zttn 狰
ztto 猪头
zttp 杂谈
ztv 周
ztvl 周
ztw/ 皱纹
ztwg 周围
ztwj 周五
ztwl 走投无路
ztwo 猪窝
ztwq 杂物
ztwt 杂务
ztwy 杂文
ztx 橥
ztxj 杂项
ztxk 争雄
ztxp 周详
ztxq 争先
ztxs 猹
ztxx 争相
ztxy 周旋
zty 獐
ztyc 猪油
ztyc 周游
ztyh 争艳
ztyi 獐
ztyj 专题研究
ztyp 争议
ztys 周易
ztyy 杂音
ztyy 旨意
ztyz 周一
ztz; 周转
ztze 杂质
ztzi 争着
ztzj 杂志
ztzk 旨在
ztzl 周转量
ztzp 皱褶
ztzs 杂志社
ztzu 争执
ztzu 周折
zu 找
zu, 招
zu,l 招
zu. 择
zu.; 摺
zu.; 擢
zu.h 择
zu/ 拶
zu/, 拶
zu/u 絷
zu;r 找
zuao 招安
zuar 挚爱
zub 扎
zub, 招办
zub/ 摘编
zubd 找不到
zubp 找遍
zubq 执笔
zubu 抓捕
zubw 招兵
zubx 指标
zubx 招标
zubz 指北针
zucb 找茬
zucm 指出
zucm 摘除
zucm 找出
zucu 摘抄
zud. 折叠
zud; 找到
zud; 抓到
zud; 捉到
zuda 指点
zudb 振荡
zude 招待
zudf 招待费
zudh 振动
zudi 折断
zudn 指导
zudo 指定
zudq 振荡器
zuds 招待所
zudu 摘掉
zudx 指导下
zudx 指导性
zudy 指导员
zudz 指导者
zue 抓
zuef 抓
zuej 折
zuf/ 指缝
zufc 执法
zufc 指法
zufd 折服
zuff 蛰伏
zufg 振幅
zufk 振奋
zufr 撞翻
zufz 执法者
zug 闸
zug/ 指给
zugf 招供
zugf 贽
zugh 拽
zugh 闸
zugj 招工
zugj 蜇
zugj 蛰
zugq 撰稿
zugr 撰稿人
zugx 扎根
zuh 揍
zuh, 抓好
zuhb 指挥部
zuhb 抓获
zuhb 摘花
zuhe 招行
zuhf 折合
zuhg 找回
zuhk 揍
zuhl 招呼
zuhq 指挥权
zuhs 指挥所
zuhu 指挥
zuhv 撞坏
zuhw 撞毁
zuhy 指挥员
zui 掷
zuig 掸
zuih 掷
zuij 撙
zuj, 招架
zujd 指尖
zujf 招集
zujf 折价
zujg 指甲
zujh 撞击
zujj 指教
zujj 拯救
zujj 执教
zujo 抓举
zujs 抓紧
zuju 抓阄
zujx 折旧
zuk 振
zukh 振
zukj 招考
zuku 折扣
zuku 指控
zul 哲
zula 捉
zuld 拙劣
zule 招徕
zulf 指令
zulh 哲理
zull 找来
zuln 摘录
zulu 招揽
zulx 指令性
zum 拙
zum, 拯
zumb 招募
zumc 捉迷藏
zumf 找麻烦
zumg 拙
zums 指明
zumt 指名
zumu 捉摸
zumu 闸门
zumy 折磨
zun 撰
zun/ 撰
zunf 捉拿
zunh 捉弄
zunj 指南
zunq 搌
zunu 执拗
zunz 指南针
zupc 指派
zuph 招聘会
zupj 招聘
zupn 抓屏
zupw 招牌
zuq 挚
zuqa 攒
zuqi 攥
zuqj 执勤
zuqj 抓取
zuqj 摘取
zuqj 挚
zuqv 抓起
zuqv 抓去
zuqz 挣钱
zuqz 攒钱
zurb 招惹
zurp 招认
zurp 指认
zurs 择日
zus 撮
zusb 招生办
zusc 折射出
zusd 指示灯
zusf 指使
zusf 撞伤
zush 指示
zusi 指数
zusj 撮
zusk 找死
zusl 折射率
zusm 招收
zuso 扎实
zusq 招生
zusq 招手
zusq 折算
zusw 折射
zusy 招商
zusz 招式
zut 指
zutd 挣脱
zutd 折腾
zutg 抓图
zutn 挣
zuto 指头
zutp 鸷
zuts 指
zutv 执
zuw/ 指纹
zuwh 执委会
zuwy 指望
zuwy 撰文
zux 揸
zux/ 折线
zuxe 执行
zuxg 执行官
zuxj 哲学家
zuxn 找寻
zuxo 哲学
zuxo 振兴
zuxp 撰写
zuxr 执行人
zuxs 揸
zuxw 指向
zuxx 哲学系
zuxz 执行者
zuy 摘
zuyf 择优
zuyh 招远
zuyi 撞
zuyi 摘
zuyj 摘要
zuyj 拄
zuyk 挚友
zuyn 指引
zuyn 招引
zuyq 摭
zuys 择业
zuys 执业
zuyu 招摇
zuyy 执意
zuz; 招致
zuzb 执著
zuzd 执政党
zuzf 抓住
zuzf 捉住
zuzf 振作
zuzg 折中
zuzg 抓贼
zuzh 指责
zuzi 执着
zuzi 指着
zuzj 执政
zuzj 指正
zuzk 扎在
zuzm 折子
zuzn 招展
zuzq 招租
zuzs 执照
zuzu 挣扎
zuzv 摘走
zuzw 摘自
zuzy 找准
zuzy 指战员
zuzz 指针
zv 走
zva 址
zvaa 址
zvar 走
zvbd 走不动
zvbj 增白剂
zvbl 走吧
zvbp 走遍
zvbp 增补
zvbu 增拨
zvbw 增兵
zvcm 走出
zvcy 增产
zvcz 走错
zvd; 走到
zvde 走得
zvdf 走低
zvdh 走动
zvdi 走道
zvdk 增大
zvdp 走读
zvdt 增多
zvdu 走掉
zvf, 增发
zvfg 增幅
zvfp 走访
zvgc 走过场
zvgf 增光
zvgg 赵国
zvgj 走过
zvgt 走狗
zvgy 增高
zvh, 走好
zvh/ 走红
zvhe 走后
zvhf 增辉
zvhg 走回
zvhi 走火
zvhm 走后门
zvi 增
zvig 增
zvj 赭
zvj, 增加
zvjd 增加到
zvje 走近
zvjg 埴
zvjh 增进
zvjh 走进
zvjk 赭
zvjy 增减
zvjz 增加值
zvkh 走开
zvkh 增开
zvkh 增刊
zvlc 走漏
zvll 走路
zvll 走来
zvls 增量
zvly 走廊
zvmd 走马灯
zvpc 增派
zvq 趱
zvqa 趱
zvqf 走俏
zvqn 增强
zvqv 走去
zvr 赵
zvrf 走人
zvrr 走入
zvsa 走上
zvsf 走私犯
zvsi 走兽
zvsj 增速
zvsm 增收
zvsp 增设
zvsq 走私
zvsq 增生
zvsq 走失
zvst 增色
zvst 增删
zvsu 走势
zvtc 增添
zvw 圳
zvwi 增为
zvwl 走弯路
zvwo 走完
zvwx 圳
zvxj 走下
zvxo 走穴
zvxq 增选
zvxw 走向
zvxy 增效
zvy 趑
zvyh 走远
zvyi 增益
zvyk 增压
zvyt 趑
zvyu 增援
zvyx 走样
zvyz 走一走
zvz; 增至
zvzd 增长点
zvzf 增值
zvzi 走着
zvzk 走在
zvzl 增长率
zvzp 走资派
zvzq 增长
zvzs 增值税
zvzv 走走
zvzy 走卒
zw 自
zw; 皂
zwaf 自傲
zwar 自爱
zwb, 自办
zwb/ 自编
zwba 坐卧不安
zwbf 自保
zwbl 自变量
zwbs 战无不胜
zwbt 自备
zwbu 追捕
zwbu 自闭
zwbw 自卑
zwbw 自白
zwby 知无不言
zwca 自此
zwcc 自测
zwcf 自从
zwcq 自称
zwcq 自筹
zwcu 自持
zwcx 追查
zwcy 自产
zwd; 追到
zwde 自得
zwdh 自动
zwdj 自带
zwdk 自大
zwdo 追悼
zwdu 追打
zwdy 自定义
zwf, 自发
zwfd 追肥
zwfn 自费
zwft 自负
zwfv 自封
zwfx 自发性
zwge 自个儿
zwgj 自古
zwgj 自贡
zwgk 政务公开
zwgv 追赶
zwgx 追根
zwhf 自会
zwhg 自豪感
zwhg 追回
zwhj 周围环境
zwho 追悔
zwhw 自毁
zwhy 自豪
zwhz 中外合资
zwj, 追加
zwj/ 追缴
zwj/ 自给
zwjb 自荐
zwjg 站稳脚跟
zwjh 追击
zwjj 自救
zwjn 自己
zwjo 自觉
zwjo 追究
zwjo 自家
zwjp 追记
zwjq 自决权
zwjr 自己人
zwjs 自己是
zwjx 自觉性
zwjx 自检
zwjy 自决
zwjz 中外记者
zwkj 自考
zwkk 自夸
zwku 自控
zwl, 自力
zwlc 自流
zwld 自留地
zwle 自律
zwlh 自理
zwlq 自利
zwls 自来水
zwly 自立
zwmc 自满
zwmd 自民党
zwmf 自命
zwmj 转弯抹角
zwmp 自谋
zwms 自明
zwmt 自勉
zwna 自虐
zwnf 追念
zwnz 自
zwp 追
zwpd 责无旁贷
zwpp 自我批评
zwpu 追捧
zwpu 自拍
zwpv 追
zwqj 追求
zwqn 自强
zwqp 自谦
zwr, 自如
zwrb 自若
zwri 自燃
zwrj 自然界
zwrm 自然美
zwrp 追认
zwrr 自然人
zwrs 自然是
zwrt 自然
zwrw 自认为
zwsa 追上
zwsc 追溯
zwsf 中文输入法
zwsg 众望所归
zwsi 自首
zwsj 自述
zwsj 追述
zwsm 追随
zwso 自恃
zwsp 追诉
zwsq 自私
zwsr 自杀
zwsr 追杀
zwsu 追授
zwsw 自身
zwsz 追随者
zwtp 追讨
zwtz 自我陶醉
zwwa 转危为安
zwwd 自卫队
zwwm 自卫
zwwn 自慰
zwwq 自我
zwws 自我完善
zwwt 自刎
zwwu 追问
zwwu 自问
zwx 齄
zwx. 自习
zwxc 自行车
zwxd 自省
zwxe 自行
zwxf 自信
zwxn 追寻
zwxo 自学
zwxq 自选
zwxs 追星
zwxs 齄
zwxx 自信心
zwxx 座无虚席
zwxy 自新
zwxz 追星族
zwxz 自销
zwy/ 自幼
zwyb 自营
zwyf 自愈
zwyg 自由
zwyh 自由化
zwyj 自由基
zwyk 自愿
zwym 子网掩码
zwyo 追忆
zwyp 自语
zwys 自由式
zwyt 自用
zwyw 自以为
zwyy 自由泳
zwz; 自转
zwzc 自治
zwzf 自传
zwzf 作威作福
zwzg 自助
zwzh 自责
zwzi 自尊
zwzj 醉翁之意不在酒
zwzk 追逐
zwzk 自在
zwzl 追踪
zwzq 自治区
zwzq 自制
zwzq 自重
zwzu 自找
zwzx 自尊心
zwzx 自治县
zwzy 自主
zwzz 自治州
zx 柱
zx. 杼
zx.m 杼
zx; 桎
zx;v 桎
zxa 桢
zxag 桢
zxap 自行安排
zxas 棹
zxb 札
zxbf 暂行办法
zxbm 栉
zxbp 植被
zxbs 贼心不死
zxcb 榨菜
zxcc 自学成才
zxcl 自行处理
zxcs 中小城市
zxcs 自相残杀
zxcy 真心诚意
zxdb 真相大白
zxdh 咨询电话
zxdi 栈道
zxdj 自寻短见
zxdt 最新动态
zxe 栀
zxe; 栀
zxes 自下而上
zxf 椎
zxff 枞
zxfw 咨询服务
zxfy 椎
zxgd 暂行规定
zxgg 忠心耿耿
zxgx 桎梏
zxgx 衷心感谢
zxgz 中心工作
zxh 栈
zxh, 栈
zxhb 中西合璧
zxhj 中心环节
zxhk 榛
zxi 樽
zxij 樽
zxj 枝
zxj. 枝
zxja 椹
zxjb 枝节
zxjg 植
zxjp 椎间盘
zxjp 札记
zxjr 秩序井然
zxjs 中学教师
zxk 杖
zxkh 争先恐后
zxkl 柘
zxkv 杖
zxl 枳
zxl; 株连
zxlr 枳
zxly 柱廊
zxmd 自相矛盾
zxmk 柱面
zxmx 樟木
zxnd 樟脑
zxnl 这些年来
zxns 招贤纳士
zxo 棕
zxo, 榨
zxon 棕
zxp 枕
zxp, 植皮
zxpj 槠
zxpt 枕
zxpy 众星捧月
zxq 株
zxqa 柞
zxqc 坐享其成
zxqj 榨取
zxqj 株
zxqk 执行情况
zxqs 直系亲属
zxqs 自行其是
zxqx 栈桥
zxqy 中小企业
zxrr 植入
zxrw 执行任务
zxs 查
zxsh 早些时候
zxsj 植树节
zxsl 柱石
zxsl 枝叶
zxst 棕色
zxsx 樟树
zxsx 植树
zxsy 真心实意
zxsz 查
zxt 栅
zxto 枕头
zxtt 枝条
zxtt 栅
zxwq 植物
zxwt 这些问题
zxwx 植物学
zxwy 植物园
zxwy 子虚乌有
zxwy 政协委员
zxx 楂
zxx. 棕熊
zxxs 中小学生
zxxs 楂
zxxx 最新消息
zxy 樟
zxyc 桩
zxyh 中西医结合
zxyi 梓
zxyi 樟
zxyj 柱
zxzc 株洲
zxzh 振兴中华
zxzj 专项资金
zxzm 柱子
zxzx 咨询中心
zxzy 柱状
zxzz 专心致志
zy 主
zy, 姿
zy,z 妆
zy,z 姿
zya 站
zyal 站
zyb, 这边
zyb, 主办
zyb/ 主编
zybb 遮蔽
zybe 这般
zybf 这部分
zybh 直言不讳
zybj 资本
zybp 装裱
zybq 主笔
zybs 这本书
zybt 准备
zybt 装备
zybu 装扮
zybx 主板
zybz 这辈子
zyce 装船
zyce 座舱
zycf 主从
zycg 资财
zycj 这才
zycl 主唱
zycm 装出
zycp 主要产品
zycq 章程
zycr 主持人
zycs 重要措施
zycu 主持
zycv 主场
zycx 卓有成效
zycy 资产
zycy 痔疮
zycy 座次
zycz 中央财政
zyd; 站到
zyda 站点
zydb 坐以待毙
zydd 职业道德
zydd 壮胆
zydg 主打歌
zydh 主动
zydj 壮丁
zydk 壮大
zydm 主动脉
zydm 主队
zydm 站队
zydn 主导
zydo 站定
zydp 装订
zydq 主动权
zydt 中央电视台
zydu 遮挡
zydw 这段
zydx 主动性
zydz 站得住
zye 彰
zyec 彰
zyet 这儿
zyf 座
zyf, 主妇
zyfc 章法
zyfe 疹
zyff 卒
zyff 座
zyfg 主峰
zyfh 这番话
zyfm 这方面
zyfn 资费
zyfr 主要负责人
zyft 主犯
zyfy 准
zyfy 左右逢源
zyg 资
zyg. 主观
zyg. 壮观
zyge 准噶尔
zygf 这个
zygf 资
zygg 站岗
zygh 主干
zygh 族规
zygi 遮盖
zygj 衷
zygj 主攻
zygj 鹧鸪
zygk 主顾
zygl 资源管理
zygn 主要功能
zygq 主管
zygs 招摇过市
zygw 中央各部委
zygx 资格
zygz 主要工作
zyh, 装好
zyhc 装潢
zyhd 主航道
zyhe 这会儿
zyhf 装货
zyhg 这回
zyhj 资源环境
zyhl 座号
zyhp 这话
zyhz 造谣惑众
zyi 粢
zyij 粢
zyj 章
zyj/ 症结
zyjb 章节
zyjf 资金
zyjg 主见
zyjg 装甲
zyjh 装进
zyjj 症
zyjj 主教
zyjl 主教练
zyjl 痣
zyjn 职业技能
zyjo 壮举
zyjo 庄家
zyjp 主讲
zyjq 庄稼
zyjr 庄稼人
zyjs 这件事
zyjt 主角
zyjw 中央军委
zyjx 主机
zyjx 座机
zyjx 装机
zyjy 主将
zyjz 壮
zyjz 斋戒
zyjz 主
zyk 状
zyk, 瘃
zykg 左右开弓
zykg 斋
zykg 颤
zykj 主考
zyko 状
zykp 主课
zyku 壮阔
zykv 这块
zykx 状况下
zyky 状况
zykz 准考证
zyl 咨
zyl, 主力
zylb 座落
zylc 主流
zylg 这里
zyli 资料
zylj 主力军
zylk 壮烈
zylk 资历
zylk 资料库
zylq 择优录取
zylt 这两天
zyly 站立
zylz 壮丽
zylz 龇牙咧嘴
zym 鄣
zymb 壮苗
zymc 装满
zymd 这么多
zymp 主谋
zyms 自由贸易区
zyms 这么说
zymt 这么
zymx 这么些
zymy 自由贸易
zymz 这么着
zyne 忠言逆耳
zyng 站内
zynq 壮年
zynr 主要内容
zyp 遮
zypa 主频
zypf 主仆
zypj 装配
zypo 恣
zypo 戆
zypp 族谱
zypq 这篇
zypv 这
zypv 遮
zypx 装配线
zypy 只言片语
zypz 资源配置
zyq 族
zyqa 痄
zyqk 准确
zyql 准确率
zyqn 族群
zyqo 衷情
zyqq 族
zyqs 自圆其说
zyqt 旃
zyqv 站起
zyqx 主权
zyr, 状如
zyrc 专业人才
zyrf 主任
zyrf 主人
zyrg 主人公
zyrj 主人家
zyro 姿容
zyrr 准入
zyrt 中央人民广播电台
zyrw 主人翁
zyry 专业人员
zys/ 准绳
zysa 装上
zysb 专用设备
zysc 资深
zysd 主帅
zysf 主食
zysg 鄣山
zysh 这时候
zysj 装束
zysj 壮士
zysm 这说明
zyso 壮实
zysp 装饰品
zyss 这时
zyss 准时
zyst 装饰
zysu 姿势
zysx 重要思想
zyt 鹧
zyt. 站台
zytd 主要特点
zytf 主体
zyth 座谈会
zytk 状态
zytk 姿态
zytl 状态栏
zyto 瘵
zytp 座谈
zytp 鹧
zytq 主题曲
zyts 主题
zytt 这条
zytv 装填
zytx 状态下
zytz 状态中
zyv 庄
zyvj 痔
zywf 座位
zywh 中央委员会
zywn 左右为难
zywq 站稳
zyws 自以为是
zywt 重要问题
zyww 恣意妄为
zywx 重要文献
zywy 中央委员
zywz 张牙舞爪
zyx/ 主线
zyxa 这些
zyxf 装修
zyxf 资信
zyxg 主心骨
zyxj 这项
zyxl 主旋律
zyxm 重要项目
zyxn 这些年
zyxp 衷心
zyxp 咨询
zyxp 准许
zyxp 资讯
zyxq 装卸
zyxr 这些人
zyxs 彰显
zyxt 主席团
zyxy 主席
zyxz 自由选择
zyy 装
zyy. 准予
zyyb 主营
zyyc 资源
zyyg 庄园
zyyh 状元
zyyh 装运
zyyh 中央银行
zyyi 主义
zyyi 瘴
zyyj 主要
zyyj 庄严
zyyj 麈
zyyj 疰
zyyk 主页
zyyl 这样一来
zyym 座右铭
zyyp 主语
zyyq 这一切
zyyr 珠圆玉润
zyys 主要是
zyyt 章鱼
zyyt 装
zyyu 遮掩
zyyx 这样
zyyx 座椅
zyyy 主意
zyyz 早已有之
zyz; 主轴
zyza 主战
zyzc 主治
zyzd 中庸之道
zyze 资质
zyzf 站住
zyzf 装作
zyzg 装置
zyzg 资助
zyzg 准则
zyzg 装帧
zyzi 站着
zyzi 装着
zyzj 装载
zyzj 壮志
zyzj 站直
zyzj 中央政治局
zyzj 主政
zyzk 站在
zyzl 自娱自乐
zyzm 庄子
zyzn 主张
zyzo 主宰
zyzp 招摇撞骗
zyzq 这种
zyzq 庄重
zyzq 站长
zyzs 忠于职守
zyzs 专业知识
zyzt 主旨
zyzu 主抓
zyzx 主枝
zyzy 症状
zyzy 自言自语
zyzy 壮族
zyzy 自怨自艾
zyzz 自由自在
zz 镇
zz/ 锱
zz/m 锱
zza 钻
zzal 钻
zzar 钟爱
zzba 惴惴不安
zzbb 祖祖辈辈
zzbd 志在必得
zzbh 钟表
zzbj 孜孜不倦
zzbj 锱铢必较
zzbk 针砭
zzbl 置之不理
zzbs 照章办事
zzbt 只字不提
zzbu 钟摆
zzby 忠贞不渝
zzbz 组织部长
zzcc 众志成城
zzcj 针刺
zzcl 知足常乐
zzcm 自作聪明
zzcy 支柱产业
zzcz 茁壮成长
zzd, 铡刀
zzd. 针对
zzda 钟点
zzdf 整装待发
zzdm 足智多谋
zzdo 镇定
zzdq 自作多情
zzdw 置之度外
zzdx 针对性
zzf 锥
zzfc 辗转反侧
zzfm 在这方面
zzfy 锥
zzg 钟
zzgf 铡
zzgj 钟
zzgs 镯
zzgx 匝
zzgz 政治工作
zzh 铸
zzhb 总指挥部
zzhk 铸
zzj 针
zzjc 镇江
zzjd 谆谆教导
zzjf 铸件
zzjg 组织机构
zzjg 镇
zzjh 镇静
zzjj 战战兢兢
zzjj 钲
zzjk 锗
zzjl 召之即来
zzjm 纸醉金迷
zzjt 针灸
zzjw 政治局常委
zzjx 钻机
zzjy 自主经营
zzjz 钻戒
zzjz 字斟句酌
zzkc 自找苦吃
zzkz 钻空子
zzl 锃
zzlh 锃
zzlx 钟楼
zzly 壮志凌云
zzmd 最终目的
zznh 置之脑后
zznl 执政能力
zzq 铢
zzqg 锺
zzqj 铢
zzql 政治权利
zzqo 钟情
zzqq 整整齐齐
zzqs 郑重其事
zzqy 字正腔圆
zzrc 尊重人才
zzrs 蒸蒸日上
zzry 在职人员
zzs 钊
zzsd 增长速度
zzsg 真抓实干
zzsj 钟声
zzsk 钻石
zzss 扎扎实实
zzss 置之死地而后生
zzss 知之甚少
zzsx 注重实效
zzt 铮
zztj 资治通鉴
zztn 铮
zzto 钟头
zzto 钻头
zztu 钻探
zzty 镇痛
zztz 铸铁
zzwc 壮志未酬
zzwm 执政为民
zzwm 政治文明
zzwn 助纣为虐
zzww 支支吾吾
zzwy 政治委员
zzx/ 针线
zzxh 正中下怀
zzxh 锥形
zzxp 钻心
zzxs 政治协商
zzxx 仔仔细细
zzxx 做贼心虚
zzxy 政治协商会议
zzy 镞
zzy, 镞
zzyb 钻营
zzyc 振振有词
zzyc 左支右绌
zzyk 镇压
zzyk 钻研
zzyl 针叶
zzyq 孜孜以求
zzys 针叶树
zzz/ 针织
zzzb 总政治部
zzzc 着重指出
zzzd 政治制度
zzzf 镇政府
zzzh 在这之后
zzzj 真知灼见
zzzm 自知之明
zzzp 针织品
zzzq 镇长
zzzq 铸造
zzzs 自作自受
zzzt 战争状态
zzzw 智珠在握
zzzx 沾沾自喜
