j 就
jszl 举手之劳
jszm 举世瞩目
jszn 紧张
jszq 监制
jszr 技术转让
jszs 技术知识
jszt 精神状态
jszt 晶状体
jszu 紧抓
jszw 紧追
jszx 技术咨询
jszz 精神支柱
jt 几
jt 九
jt, 解
jt,q 解
jtap 具体安排
jtaq 交通安全
jtba 几步
jtbf 几倍
jtbj 几本
jtbk 几百
jtbl 久别
jtbm 交通部门
jtbn 几百年
jtbp 几遍
jtbq 祭拜
jtbt 解包
jtbx 具体表现
jtby 急病
jtby 狡辩
jtc/ 急驰
jtcc 急匆匆
jtcf 急促
jtck 九成
jtcl 卷土重来
jtcm 解除
jtcn 几层
jtcs 具体措施
jtct 几处
jtcv 几场
jtcy 几次
jtd 系
jtda 几点
jtdd 惊天动地
jtde 急得
jtdf 几代
jtdg 急电
jtdh 解毒
jtdl 急跌
jtdo 角斗
jtdp 解读
jtdq 解答
jtdr 几代人
jtds 具体地说
jtdt 几多
jtdv 系
jtdw 几段
jtdx 交通大学
jtdy 角度
jtet 饥饿
jtfc 解放初
jtfc 句法
jtfg 交通法规
jtfh 借题发挥
jtfh 解放后
jtfj 解放军
jtfm 几方面
jtfn 家庭妇女
jtfq 解放前
jtfr 几番
jtfr 几分
jtft 飓风
jtfx 具体分析
jtfy 解放
jtfz 几分钟
jtg 飓
jtgd 具体规定
jtgf 几个
jtgf 九个
jtgh 狙
jtgh 飓
jtgj 交通工具
jtgp 解雇
jtgr 几个人
jtgs 集团公司
jtgx 及格
jtgy 几个月
jtgz 具体工作
jth 祭
jth, 饯
jthb 饥荒
jthd 祭
jthf 几何
jthg 几回
jthl 惊涛骇浪
jthl 句号
jtho 解恨
jthp 句话
jthr 几乎
jths 九华山
jtht 狡猾
jthv 急坏
jthx 几何学
jthz 解惑
jti 灸
jtir 灸
jtj 馑
jtj/ 久经
jtj/ 几经
jtja 馑
jtjc 九江
jtje 交头接耳
jtjf 急件
jtjh 狙击
jtjj 解救
jtjj 急救
jtjn 急剧
jtjo 几家
jtjt 急急
jtjt 久久
jtjt 几句
jtju 几间
jtjx 解禁
jtjy 解决
jtjz 鲒
jtk 獗
jtkc 饥渴
jtkc 解渴
jtkg 几颗
jtkh 解开
jtki 獗
jtkl 几口
jtkv 几块
jtl 句
jtl 咎
jtl, 角力
jtl; 几辆
jtlb 角落
jtlc 急流
jtld 狷
jtle 焦头烂额
jtlf 急令
jtli 几类
jtlk 九龙
jtln 进退两难
jtls 具体来说
jtlt 久留
jtly 几率
jtmd 角膜
jtmi 几米
jtmk 解码
jtmn 饥民
jtmo 急忙
jtmo 解密
jtmp 解谜
jtmq 几秒
jtmt 几名
jtmu 解闷
jtmx 几枚
jtmz 几秒钟
jtn 鲫
jtn. 解难
jtn; 鲫
jtnf 系念
jtnh 几年后
jtnj 解囊
jtnl 几年来
jtnq 几年
jtnq 九年
jtnr 觖
jtny 几内亚
jtp 急
jtpj 解聘
jtpl 祭品
jtpo 急
jtpq 几篇
jtpw 急迫
jtpx 解剖学
jtpy 解剖
jtq; 急切
jtqg 几圈
jtqh 角球
jtqj 及其
jtqk 具体情况
jtql 祭器
jtqn 几千年
jtqq 几千
jtqv 几起
jtqw 九泉
jtrs 几日
jtrs 九日
jtru 解热
jts 鲣
jts. 鲣
jtsb 家徒四壁
jtsc 解说词
jtsd 脚踏实地
jtse 几所
jtsg 交通事故
jtsh 家庭生活
jtsj 解散
jtsj 急事
jtsj 急速
jtsk 狡兔三窟
jtsn 交通枢纽
jtsp 祭祀
jtsp 解说
jtsq 解手
jtsr 解释
jtss 及时
jtss 几时
jtst 角色
jtsu 祭扫
jtsx 及时性
jtsy 及时雨
jtsz 句式
jtt 饥
jtt 角
jttd 解脱
jttf 解体
jtth 角
jtth 几天
jtth 九天
jttj 具体条件
jttk 解套
jttp 鸠
jttq 几天前
jtts 解题
jttt 几条
jttt 九条
jttv 祭坛
jtv 及
jtv 久
jtw; 几万
jtwd 经天纬地
jtwf 几位
jtwg 解围
jtwg 进退维谷
jtwh 久违
jtwj 九五
jtwt 具体问题
jtwu 久闻
jtx 桀
jtxb 急性病
jtxe 饯行
jtxf 急先锋
jtxg 狡黠
jtxh 句型
jtxj 几下
jtxl 急需
jtxl 九霄
jtxo 急性
jtxp 几许
jtxt 交通系统
jtxw 街头巷尾
jtxx 精挑细选
jtxx 解析
jtxy 街谈巷议
jtxz 急性子
jty 饺
jty/ 解约
jtyb 解药
jtyd 交通要道
jtyd 九月
jtyf 久仰
jtyg 几眼
jtyh 急于
jtyh 久远
jtyi 獍
jtyk 解压
jtyl 鲸
jtyn 久已
jtyo 解忧
jtyq 具体要求
jtyr 鲚
jtyr 鲛
jtyr 狡
jtyr 饺
jtys 交通运输
jtys 解压缩
jtyt 急用
jtyt 鲸鱼
jtyx 几样
jtyy 家庭影院
jtz/ 急骤
jtz; 及至
jtzc 角质层
jtzd 具体指导
jtze 角质
jtzf 具体做法
jtzg 九寨沟
jtzi 九州
jtzj 解职
jtzk 角逐
jtzl 急躁
jtzm 句子
jtzm 饺子
jtzm 兼听则明
jtzn 几张
jtzp 急诊
jtzp 狡诈
jtzp 祭祖
jtzs 及早
jtzs 急诊室
jtzt 几周
jtzu 九折
jtzw 急转弯
jtzx 交通秩序
jtzy 集体主义
jtzy 教条主义
jtzy 九族
ju 间
ju; 拒
ju;, 拣
ju;; 拒
ju;h 捷
jubd 据报道
jubh 接班
jubk 拒不
jubr 接班人
jubu 拘捕
jubu 搅拌
jubu 捷报
jubx 揭榜
jubz 据报载
juca 据此
jucd 据测定
jucf 据传
jucm 挤出
jucm 捐出
juco 揭穿
jucq 据称
juct 接触
jucx 据查
jud; 接到
juda 据点
jude 接待
judh 搅动
judi 间断
judi 挤兑
judp 间谍
judq 揭短
juds 接待室
judu 挤掉
judv 接地
judz 接待站
juf 捡
juf, 揭发
juf/ 接缝
jufc 技法
juff 拒付
jufl 捡
jufx 据分析
jug 攫
jug/ 捐给
jug; 接轨
jugh 攫
jugj 技工
jugj 接过
jugm 间隔
jugn 技改
jugq 接管
juhg 接回
juhz 间或
jui 搛
jui; 搛
juj 技
juj, 间架
juj. 技
juj/ 拒绝
jujc 接济
juje 接近
juje 捷径
jujg 接见
jujh 掘进
jujl 间距
jujp 拘谨
jujs 据介绍
juju 间接
juju 拮据
jujx 拘禁
jujx 接机
jujy 接近于
jujz 拮
juk 撅
jukh 揭开
juki 撅
jukj 捐款
jukj 捷克
jukl 接口
juko 接客
juku 拮抗
juky 掎
jul 捐
jul, 接力
jul; 接连
julb 接力棒
juld 捐
julk 接龙
jull 揭露
julq 搅乱
julq 挟
juls 拘留所
juls 接力赛
jult 拘留
jumb 揭幕
jumc 挤满
jumo 揭密
jumq 揭秘
jun 据
jun. 技能
jun/ 接纳
junc 拘泥
junk 捃
junq 据
junr 抉
junt 掘
juny 拘泥于
juo 搅
juor 搅
jupu 揭批
juq 揪
juqc 接洽
juqd 揪
juqh 接球
juqj 技巧
juqr 挢
juqv 捡起
juqv 揭起
juqv 拣起
juqw 捐躯
juqz 捐钱
jurf 接任
jurr 接入
jurv 接壤
jus 揭
jus 间
jusa 接上
jusb 技术部
jush 揭示
jusi 接送
jusj 技术
jusj 拘束
jusk 技术科
jusm 接收
jusp 据说
jusq 接手
jusq 接生
jusr 接受
juss 技术上
just 揭
jusy 技术员
jut 拘
jut. 接通
jutg 阄
juth 接替
juti 掬
jutj 据统计
jutl 拘
juto 接头
juwl 接吻
juwq 据我
juwu 据闻
jux/ 接线
juxj 捐献
juxj 接下
juxl 接下来
juxm 间隙
juxp 揪心
juxr 据悉
juxs 揭晓
juxs 间歇
juxx 技校
juxy 接线员
juy 接
juy. 据以
juyb 技艺
juyc 据预测
juye 拘役
juyi 接
juyk 挤压
juyr 挤
juyu 拘押
juyy 接应
juz; 接至
juza 挤占
juzf 接住
juzf 揪住
juzg 捐赠
juzg 捐助
juzi 接着
juzj 据载
juzp 接诊
juzu 抉择
juzv 接走
juzy 捐资
jv 均
jv, 劫
jvbk 均不
jvbp 均被
jvcu 劫持
jvdq 均等
jvdv 境地
jvfr 均分
jvfz 劫匪
jvg 趄
jvgh 趄
jvhe 均衡
jvjg 境界
jvjn 均居
jvjx 劫机
jvky 境况
jvkz 均可
jvlu 劫掠
jvm 赳
jvn. 劫难
jvn. 均能
jvng 境内
jvnw 境内外
jvsi 劫数
jvsn 均属
jvsu 均势
jvt 圾
jvtu 均摊
jvtv 圾
jvty 均
jvwh 均无
jvwh 均未
jvwi 均为
jvwt 境外
jvxl 均需
jvxt 均系
jvy 境
jvy. 均以
jvy; 均与
jvyg 境遇
jvyi 境
jvyj 均要
jvyk 均有
jvyn 均已
jvyt 均匀
jvyy 均应
jvyz 均一
jvzf 均值
jw 臼
jw;z 臼
jwbj 既往不咎
jwcj 金屋藏娇
jwfm 泾渭分明
jwfr 舅父
jwg 舅
jwgj 舅
jwgr 舅公
jwgz 矫枉过正
jwjc 皎洁
jwjw 舅舅
jwjy 绝无仅有
jwjy 据为己有
jwkl 继往开来
jwm/ 舅母
jwq 敫
jwqr 敫
jwsj 纪委书记
jwsz 节外生枝
jwtc 救亡图存
jwy 皎
jwyr 皎
jwzx 军委主席
jwzy 极为重要
jx 机
jx, 枷
jx,l 枷
jx. 橘
jx.m 橘
jx;; 柜
jx;t 楷
jxa 椒
jxaj 椒
jxap 精心安排
jxbc 继续保持
jxbk 极不
jxbu 禁闭
jxbw 旧版
jxbx 将心比心
jxby 坚信不移
jxbz 禁不住
jxc; 机车
jxcc 检测
jxce 机舱
jxcg 检察官
jxch 精心策划
jxci 极差
jxcm 杰出
jxco 检察
jxcs 检察署
jxct 检查团
jxcv 机场
jxcx 检查
jxcy 机床
jxcy 检察院
jxcz 检查组
jxd. 校对
jxda 极点
jxdc 机动车
jxdf 极低
jxdg 机电
jxdh 机动
jxdj 匠心独具
jxdk 极大
jxdo 检定
jxdp 惊心动魄
jxdp 校订
jxdt 极多
jxdv 禁地
jxdx 机动性
jxdy 极端
jxdy 极度
jxf 检
jxfl 检
jxfo 极富
jxfp 机房
jxg 枧
jxgb 机关报
jxgg 禁果
jxgh 机耕
jxgi 机关
jxgj 机工
jxgq 机关枪
jxgt 枧
jxgx 机构
jxgy 极高
jxgz 禁锢
jxgz 吉星高照
jxh 禁
jxh, 极好
jxh/ 橘红
jxhd 禁
jxhf 机会
jxhh 降耗
jxhs 锦绣河山
jxht 举行会谈
jxhv 极坏
jxhy 交相辉映
jxj 桔
jxja 槿
jxjb 机警
jxjc 进行检查
jxjf 机件
jxjg 机具
jxjg 极具
jxjh 教学计划
jxjj 惊喜交加
jxjl 尽心尽力
jxjn 禁忌
jxjn 极尽
jxjn 旧居
jxjo 检举
jxjq 继续加强
jxjr 检举人
jxjs 旧金山
jxjx 继续进行
jxjy 将信将疑
jxjz 桔
jxk 柩
jxk. 柩
jxki 橛
jxko 极快
jxku 检控
jxl 楫
jxl, 极力
jxlf 禁令
jxlh 机理
jxlj 楫
jxlk 旧历
jxll 娇小玲珑
jxln 机灵
jxlt 极乐
jxly 机率
jxmg 极目
jxmo 机密
jxmq 机敏
jxmr 旧貌
jxn 楗
jxn. 机能
jxng 机内
jxnh 楗
jxnl 近些年来
jxnq 椐
jxo 杰
jxoo 杰
jxoq 榉
jxpc 居心叵测
jxpj 机票
jxpl 极品
jxpp 进行批评
jxqc 锦绣前程
jxqj 极其
jxqk 教学情况
jxql 机器
jxqn 极强
jxqo 旧情
jxqr 机器人
jxqx 机枪
jxqz 禁区
jxrs 旧日
jxry 吉祥如意
jxs 旧
jxsa 机上
jxsb 机械设备
jxsd 极少
jxsh 旧社会
jxsj 检索
jxso 禁赛
jxsq 槛
jxss 极少数
jxsw 机身
jxsw 谨小慎微
jxsx 继续实行
jxsz 枷锁
jxsz 旧式
jxt 极
jxt 机
jxt. 机台
jxtf 机体
jxtl 枸
jxtp 检讨
jxtt 桷
jxtv 极
jxw 桕
jxw; 桕
jxwd 机务段
jxwf 惊喜万分
jxwi 极为
jxwt 机务
jxwy 寄希望于
jxxb 机芯
jxxc 机械厂
jxxd 极小
jxxf 检修
jxxg 旧习惯
jxxh 机械化
jxxh 机型
jxxm 极限
jxxn 机械能
jxxo 极性
jxxq 机箱
jxxs 机械手
jxxx 机械
jxy 校
jxy. 机翼
jxy/ 检验
jxyc 机油
jxyg 机遇
jxyh 禁运
jxyi 禁烟
jxyj 机要
jxyk 极有
jxyr 校
jxys 极易
jxyt 禁用
jxyu 检阅
jxyw 九霄云外
jxyx 校样
jxyy 检疫
jxyz 检疫站
jxz/ 机组
jxz; 极至
jxza 禁止
jxzf 杰作
jxzg 旧中国
jxzh 继续抓好
jxzj 校正
jxzk 极左
jxzl 教学质量
jxzm 机子
jxzm 桔子
jxzo 检字
jxzq 机智
jxzq 机制
jxzv 旧址
jxzx 教学秩序
jxzy 校准
jxzz 机械制造
jy 将
jy, 痂
jy,l 痂
jy. 竣
jy.j 痉
jy.r 竣
jyaz 将按照
jyb, 交办
jyba 脊背
jybd 甲乙丙丁
jybg 进一步提高
jybh 决不会
jybi 减半
jybj 交杯酒
jybk 决不
jybm 教育部门
jybn 决不能
jybp 将被
jybq 进一步加强
jybs 决不是
jybu 将把
jybx 竞标
jybx 奖杯
jyby 疾病
jyc. 交叉
jyc/ 疾驰
jyca 就餐
jycb 金银财宝
jycb 酱菜
jyce 奖惩
jycf 将从
jyci ^减差
jyci 交差
jyck 将成
jycl 经营策略
jycm 交出
jycm 决出
jycp 竭诚
jycq 决策
jycr 决策人
jyct 竞猜
jycu 减持
jycv 京城
jycw 将成为
jycx 将出现
jycy 减产
jycz 决策者
jycz 交错
jyd 脊
jyd; 交到
jyda 交点
jyde 交待
jydf 交代
jydg 交电
jydi 交道
jydi 决断
jydj 京都
jydk 竟达
jydo 决定
jydp 就读
jydq 家用电器
jydu 减掉
jydv 就地
jydx 决定性
jydy 决定于
jydz 决定在
jyeo 净额
jyf 疥
jyfa 决非
jyfb 就范
jyfc 减法
jyfd 减肥
jyff 交付
jyfg 奖罚
jyfj 军用飞机
jyfl 奖优罚劣
jyfn 交费
jyfs 举一反三
jyft 减负
jyfw 疥
jyfx 加以分析
jyfz 交锋
jyg 浆
jyg/ 交给
jygc 基因工程
jygg 教育改革
jygh 疽
jygj 竣工
jygl 经营管理
jygm 经营规模
jygn 竟敢
jygo 交割
jygq 交稿
jygr 交公
jygr 浆
jygt 紧要关头
jygx 京广线
jygy 京广
jygz 教育工作
jyh 靖
jyh, 交好
jyh/ 减缓
jyh; 交互
jyha 靖
jyhc 交汇
jyhc 京沪
jyhd 交汇点
jyhd 经营活动
jyhf 交货
jyhf 净化
jyhf 将会
jyhf 京华
jyhg 疾患
jyhi 浆糊
jyhi 交火
jyhj 交换机
jyhk 交还
jyhl 疾呼
jyhs 交互式
jyhu 交换
jyhw 寄予厚望
jyhx 家喻户晓
jyj 酱
jyj, 交加
jyj, 酱
jyj/ 京畿
jyja 廑
jyjb 交警
jyjc 交界处
jyjc 京津
jyjd 交警队
jyje 将近
jyjf 奖金
jyjg 交界
jyjh 就业机会
jyjl 经验交流
jyjm 交际
jyjn 竭尽
jyjn 京剧
jyjo 交寄
jyjp 将军
jyjt 京剧团
jyjt 京九
jyju 竞技
jyju 交接
jyjx 经验教训
jyjy 将就
jyjz 经营机制
jyk 奖
jyk. 就
jykb 疾苦
jykj 交款
jykl 决口
jyks 就开始
jykv 奖
jyky 就可以
jykz 减
jyl 京
jyl, 竭力
jyl; 就连
jylc 交流
jylc 脊梁
jyld 京
jylf 将领
jylg 脊梁骨
jylh 交流会
jylk 奖励
jyll 将来
jylq 净利
jylr 净利润
jyls 剂量
jyls 疾言厉色
jylt 竞
jyly 痉挛
jym 郊
jym 疖
jymb 竞买
jymj 竞卖
jyml 将面临
jymo 减慢
jyms 减免税
jymt 减免
jymy 就没有
jyn 决
jyn. 就能
jyn/ 交纳
jyna 瘕
jynr 决
jyny 节约能源
jyp 迹
jypj 交配
jypj 竞聘
jypl 奖品
jypu 竞拍
jypv 迹
jypw 奖牌
jypy 交朋友
jypz 京片子
jyq 疾
jyq; 减轻
jyqc 急于求成
jyqd 麇
jyqf 技压群芳
jyqi 奖券
jyqj 精益求精
jyqk 疾
jyqo 交情
jyqo 就寝
jyqq 旌
jyqv 减去
jyqw 金玉其外
jyqx 技压群雄
jyqx 交权
jyqy 旌旗
jyqz 郊区
jyqz 交钱
jyr 交
jyr, 就如
jyrf 就任
jyrn 减弱
jyrp 就让
jyrr 交
jyrs 就业人数
jyrt 竟然
jyrz 交融
jys 剂
jys/ 疾驶
jysa 交上
jysc 交涉
jysd 减少
jysd 将帅
jysd 决胜
jysf 奖赏
jysg 脊髓
jysh 骄阳似火
jysj 减速
jysj 将士
jysm 减收
jyso 竞赛
jyso 决赛
jysq 交税
jysq 交手
jysq 减税
jysq 见异思迁
jysr 净收入
jyss 就是
jyss 将是
jyst 竭
jysu 就势
jysy 教育事业
jysz 决一死战
jyt 竟
jyt 麂
jyt. 交通
jytb 交通部
jyth 交替
jytj 交通局
jytn 净
jytn 减退
jytp 交谈
jytp 鹫
jytt 晶莹剔透
jytu 竞投
jytv 净土
jytv 疚
jytx 交通线
jyty 将
jytz 教育体制
jyw 齑
jywa 齑
jywe 交往
jywf 就位
jywi 将为
jywt 郊外
jywz 军用物资
jyx 桨
jyx. 京戏
jyx/ 就绪
jyxd 减小
jyxf 就像
jyxj 奖学金
jyxj 奖项
jyxl 交响
jyxo 就学
jyxp 决心
jyxq 竞选
jyxq 交响曲
jyxt 迹象
jyxw 教育新闻
jyxx 竞相
jyxy 交响乐
jyxy 教育学院
jyy 瘠
jyy. 将以
jyya 决议案
jyyc 酱油
jyyc 郊游
jyyd 娇艳欲滴
jyye 交易额
jyyf 经营有方
jyyg 将由
jyyh 将于
jyyh 交易会
jyyi 就义
jyyj 就要
jyyk 交友
jyyk 竟有
jyyl 减员
jyyp 决议
jyyp 交谊
jyyr 鸡鸭鱼肉
jyyr 瘠
jyys 交易
jyys 就业
jyys 锦衣玉食
jyys 交易所
jyyw 见义勇为
jyyx 锦衣夜行
jyyx 记忆犹新
jyyx 交椅
jyyy 决意
jyyz 就医
jyz/ 交织
jyz; 减至
jyza 交战
jyza 决战
jyzc 净资产
jyzf 净值
jyzj 就职
jyzk 将在
jyzl 竞争力
jyzo 减灾
jyzp 就诊
jyzq 净重
jyzq 咎由自取
jyzs 结业证书
jyzt 竞争
jyzv 净增
jyzv 竞走
jyzx 脊椎
jyzx 交易中心
jyzy 奖状
jyzy 就座
jyzy 奖章
jyzy 京族
jyzz 竞争中
jz 镜
jz; 钜
jz;; 钜
jzbg 精忠报国
jzbl 集中兵力
jzbq 坚贞不屈
jzbs 锦标赛
jzbt 戒备
jzbx 锦标
jzby 坚贞不渝
jzca 锯齿
jzcf 记者采访
jzcl 建筑材料
jzcm 戒除
jzdh 戒毒
jzdl 就职典礼
jzds 竞争对手
jzdu 戒掉
jze 匠
jzej 匠
jzel 接踵而来
jzey 竭泽而渔
jzez 接踵而至
jzf 镌
jzfd 钾肥
jzfg 建筑风格
jzfy 镌
jzg 钾
jzgc 建筑工程
jzgd 建筑工地
jzgh 钾
jzgl 价值规律
jzgn 价值观念
jzgy 建筑工业
jzi 锩
jzih 锩
jzj 豇
jzjc 戒酒
jzjg 建筑结构
jzjz 尽职尽责
jzjz 豇
jzk 戒
jzki 镢
jzkx 镜框
jzkx 戒
jzl 铗
jzl/ 锦纶
jzlc 价值连城
jzle 戒律
jzll 集中力量
jzlq 铗
jzlz 铰链
jzmj 建筑面积
jzmj 居住面积
jzmw 拒之门外
jzn 键
jznf 积重难返
jznh 键
jznl 竞争能力
jznq 锯
jzns 聚众闹事
jznt 锔
jzo 镓
jzon 镓
jzpe 键盘
jzpw 镜片
jzqy 锦旗
jzqz 举足轻重
jzrq 举重若轻
jzrr 键入
jzry 机组人员
jzsj 建筑设计
jzsz 急中生智
jzt 钧
jzto 镜头
jztx 价值体系
jzty 集中统一
jzty 钧
jzu 锏
jzub 锏
jzw 锦
jzwf 键位
jzwn 锦
jzwz 救灾物资
jzx/ 锦绣
jzxd 捷足先登
jzxf 镜像
jzxj 锦西
jzxp 戒心
jzxs 箭在弦上
jzxy 禁止吸烟
jzy 铰
jzyd 江浙一带
jzyg 教职员工
jzyh 击中要害
jzyi 戒烟
jzyi 镜
jzyj 戒严
jzyl 戒严令
jzyq 激浊扬清
jzyr 铰
jzys 建筑艺术
jzys 竞争优势
jzyv 钾盐
jzyx 紧张有序
jzyy 金枝玉叶
jzzc 近在咫尺
jzzc 近朱者赤
jzzh 记者招待会
jzzi 锦州
jzzk 紧张状况
jzzm 镜子
jzzp 金字招牌
jzzt 紧张状态
jzzu 戒指
jzzx 急转直下
