x 学
xyyk 享有
xyyl 新一轮
xyym 心猿意马
xyyo 享誉
xyyt 享用
xyyt 新颖
xyyx 新颖性
xyyy 效应
xyyy 新意
xyyy 序言
xyyz 心有余而力不足
xyz; 旋转
xyzc 新政策
xyzf 新作
xyzg 新中国
xyzj 新政
xyzm 席子
xyzq 兴业证券
xyzu 新招
xyzv 新增
xyzw 享誉中外
xyzx 新泽西
xyzy 新装
xyzy 学以致用
xyzz 逍遥自在
xz 销
xzbb 兴致勃勃
xzbm 行政部门
xzbq 锡箔
xzbx 心照不宣
xzbz 锡伯族
xzcf 行政处分
xzcj 显著成绩
xzdm 心知肚明
xzdw 行政单位
xze 锨
xzej 锨
xzfc 销
xzfg 行政法规
xzg 匣
xzgh 匣
xzgl 西装革履
xzgl 行政管理
xzgx 协作关系
xzhf 销货
xzhh 销魂
xzhw 销毁
xzhz 先斩后奏
xzj 镡
xzjf 销价
xzjg 行政机关
xzjm 镡
xzkk 心直口快
xzlh 幸灾乐祸
xzll 销路
xzls 销量
xzq 锈
xzqa 铣
xzqd 锈
xzqg 镶嵌
xzqy 乡镇企业
xzqy 行政区域
xzry 闲杂人员
xzs 锡
xzsb 销售部
xzse 销售额
xzsf 销售
xzsl 削足适履
xzsl 销售量
xzss 销售商
xzss 行政诉讼
xzss 虚张声势
xzst 雪中送炭
xzst 锡
xzsy 行政事业
xztd 显著特点
xzwe 销往
xzws 心中无数
xzxj 先知先觉
xzxw 行政行为
xzy 锌
xzy, 镟
xzy/ 铉
xzyf 雄姿英发
xzyi 锌
xzyk 笑逐颜开
xzyl 镶
xzys 心中有数
xzyx 行之有效
xzzg 销赃
xzzg 行政长官
xzzm 匣子
xzzq 西藏自治区
xzzr 行政责任
