y 一
ytjc 饮酒
ytjg 用具
ytjh 迎击
ytjn 用尽
ytjo 疑惧
ytjp 印记
ytjp 用计
ytjs 印鉴
ytju 迎接
ytjz 言谈举止
ytk 犹
ytk. 鱿
ytk. 犹
ytkg 颖
ytkg 颍
ytko 迎客
ytky 猗
ytl, 用力
ytla 疑虑
ytli 饮料
ytli 用料
ytll 用来
ytll 迎来
ytls 用量
ytm 印
ytmb 鱼苗
ytmi 用煤
ytmk 迎面
ytn 肄
ytn. 疑难
ytnd 用脑
ytnh 肄
ytnn 印尼
yto 夤
yton 夤
ytp 迎
ytpk 狱
ytpl 用品
ytpl 饮品
ytpo 怨
ytpv 逸
ytpv 迎
ytq 饫
ytqc 乐清
ytqg 乐曲
ytqj 迎娶
ytql 乐器
ytqn 鱼群
ytqq 怨气
ytqr 饫
ytqz 用钱
ytr 鳐
ytr, 犹如
ytrc 印染
ytrf 用人
ytrg 鱼肉
ytri 鳐
ytsa 用上
ytsc 印刷厂
ytsd 饮食店
ytsf 饮食
ytsg 饮水
ytsg 用水
ytsi 印数
ytsi 迎送
ytsj 匀速
ytsn 印刷
ytsp 印刷品
ytsq 用手
ytss 用时
ytst 印刷体
ytsy 饮食业
ytt 饮
yttf 用途
yttf 饮
yttg 乐团
yttg 疑团
yttj 迎头痛击
yttk 犹太
ytto 迎头
yttp 鸳
yttr 犹太人
yttv 鱼塘
ytv 猿
ytvl 猿
ytwf 仪态万方
ytwh 用武
ytwi 疑为
ytwj 疑问句
ytwo 用完
ytws 一头雾水
ytwu 疑问
ytww 鱼尾纹
ytxg 鱼虾
ytxj 饮下
ytxp 用心
ytxp 疑心
ytxr 疑凶
ytxt 印象
ytxy 迎新
yty 匀
yty. 犹豫
ytyb 用药
ytyg 鸳鸯
ytyh 用于
ytyh 疑云
ytyh 狺
ytyi 疑义
ytyl 有条有理
ytyo 饮誉
ytyp 用语
ytyp 疑议
ytyr 怨天尤人
ytys 饮用水
ytyt 饮用
ytyt 鳙
ytyw 有头有尾
ytyy 用意
ytyy 怨言
ytz 鱼
ytz/ 用纸
ytza 迎战
ytzd 勇挑重担
ytzf 用作
ytzg 狱中
ytzi 迎着
ytzk 用在
ytzp 印证
ytzq 印制
ytzx 晕头转向
ytzy 乐章
ytzy 印章
ytzy 用之于
yu 扬
yu,c 扬
yu/ 掾
yu/k 掾
yubb 掩蔽
yubs 阅兵式
yubu 拥抱
yubu 摇摆
yubw 援兵
yubw 阅兵
yuc; 押车
yucb 掩藏
yucd 扬尘
yudh 摇动
yudj 拥戴
yudp 阅读
yuf 揄
yufg 扬帆
yufz 揄
yug 押
yugc 摇滚
yugf 撄
yugh 拽
yugh 押
yugi 掩盖
yugo 阉割
yugy 摇滚乐
yuh 闫
yuhl 摇号
yuhs 摇晃
yuhu 拥护
yuhu 掩护
yuhz 抑或
yuhz 闫
yui 阅
yuil 阅
yuj 揶
yuja 揶
yujf 押金
yuji 阅卷
yujj 援救
yujn 援建
yujp 拥军
yujp 援军
yujt 押解
yuju 拥挤
yuk 掩
yuku 阉
yuku 掩
yul 揖
yulg 阎罗
yulj 揖
yulk 阅历
yulm 挹
yulq 摇篮
yuls 阅览
yumk 掩码
yumt 扬名
yumv 掩埋
yuqh 扬琴
yuqs 摇钱树
yuqv 扬起
yuqy 扬弃
yur 摇
yuri 援
yuri 摇
yusi 押送
yusq 扬声器
yusq 扬手
yust 掩饰
yut 拥
yutf 掩体
yuth 拥
yutm 抑
yuto 摇头
yuts 押题
yutw 阎
yutw 摇头丸
yuwh 阎王
yuwt 援外
yuy 掖
yuy, 阏
yuyf 掖
yuyg 摇曳
yuyh 押运
yuyk 拥有
yuyk 抑郁
yuyn 援引
yuys 掩映
yuyt 摇摇头
yuyu 摇摇
yuyu 抑扬
yuyy 押韵
yuyy 扬言
yuz 阈
yuza 抑止
yuzb 援藏
yuze 扬子鳄
yuzg 援助
yuzi 扬州
yuzj 扬子江
yuzl 阈
yuzm 扬子
yuzq 抑制
yuzs 揠
yv 越
yv/ 坳
yv/p 坳
yv;, 越
yvbm 盐巴
yvcc 盐池
yvci 越差
yvcv 盐城
yvcv 盐场
yvdf 越低
yvdk 越大
yvdq 越短
yvdt 越冬
yvdt 越多
yvf, 越发
yvfc 盐法
yvfr 盐分
yvg 盐
yvg; 越轨
yvgj 越过
yvgs 盐
yvgy 越高
yvh, 越好
yvhc 盐湖
yvhv 越坏
yvj 垭
yvj, 越加
yvj/ 越级
yvjd 盐碱地
yvjf 垭
yvjg 越界
yvjh 盐碱化
yvjh 盐井
yvjk 盐碱
yvjm 堙
yvjn 越剧
yvjt 越久
yvjv 越境
yvk 塬
yvko 越快
yvkw 塬
yvl 袁
yvli 盐类
yvll 越来
yvlt 袁
yvly 越来越
yvmo 越慢
yvmt 域名
yvn 圯
yvn; 垠
yvnb 圯
yvnj 越南
yvo 垸
yvon 垸
yvqn 越强
yvqx 越权
yvrn 越弱
yvs 埸
yvsc 越深
yvsd 越少
yvsg 盐水
yvsg 盐山
yvsj 盐酸
yvss 越是
yvst 埸
yvtg 盐田
yvwe 越往
yvwf 越位
yvwg 域网
yvws 越晚
yvwt 域外
yvxd 越小
yvxq 越秀
yvy 墉
yvyc 越野车
yvyc 越洋
yvyg 越野
yvyj 越要
yvyp ^越语
yvys 盐业
yvyt 越狱
yvyt 墉
yvz 垣
yvzc 盐渍
yvzh 盐渍化
yvzl 域
yvzo 越窄
yvzq 越长
yvzs 越早
yvzs 堰
yvzs 垣
yw 延
yw. 延
yw; 粤
yw;z 臾
ywao 延安
ywb, 延边
ywbd 有问必答
ywbz 一文不值
ywcn 延迟
ywcq 延长
ywdj 一网打尽
ywdl 渔翁得利
ywf, 岳飞
ywfg 义无反顾
ywfr 岳父
ywfw 业务范围
ywfz 业务发展
ywg 岳
ywgj 鼬
ywgx 岳
ywgz 医务工作者
ywh/ 延缓
ywhe 延后
ywjf 邀集
ywjy 义务教育
ywjz 咬文嚼字
ywk 舁
ywkx 舁
ywlc 语无伦次
ywld 义务劳动
ywlj 舆论界
ywlp 舆论
ywlx 业务联系
ywm/ 岳母
ywmm 烟雾弥漫
ywn 禹
ywnx 禹
ywp 邀
ywpk 牖
ywpv 邀
ywqj 延期
ywql 摇尾乞怜
ywqp 邀请
ywqs 邀请赛
ywqx 愿闻其详
ywqx 邀请信
ywr 舆
ywry 医务人员
yws 劓
ywsc 一无是处
ywsc 意味深长
ywsd 延伸到
ywsf 延伸
ywsg 意外事故
ywsh 一无所获
ywso 鼹
ywsp 业务水平
ywss 延时
ywsw 鼹鼠
ywsy 一无所有
ywsz 一无所知
ywtc 尤为突出
ywwb 一望无边
ywwj 一望无际
ywwp 延误
ywwq 一往无前
ywwy 一望无垠
ywx/ 延续
ywxd 延续到
ywxs 鹦鹉学舌
ywxx 业务学习
ywxz 永无休止
ywyl 岳阳楼
ywym 岳阳
ywyp 粤语
ywys 一五一十
ywyt 延用
ywyw 耀武扬威
ywyx 杳无音讯
ywyx 杳无音信
ywzd 用武之地
ywzj 永无止境
ywzl 渔翁之利
ywzq 勇往直前
ywzy 言外之意
ywzy 洋为中用
yx 样
yx, 杨
yx,. 楹
yx,c 杨
yx/ 幽
yx/; 橼
yx/p 幽
yxas 幽暗
yxbb 野心勃勃
yxbd 意想不到
yxbj 样本
yxbl 原形毕露
yxbr 于心不忍
yxbx 样板
yxby 言行不一
yxcc 忧心忡忡
yxcg 优秀成果
yxdf 贻笑大方
yxds 有线电视
yxdy 优秀党员
yxdz 邮箱地址
yxes 由下而上
yxf 榆
yxfz 浴血奋战
yxfz 榆
yxg 樱
yxgb 优秀干部
yxgd 硬性规定
yxgf 樱
yxgj 柚
yxgr 幽谷
yxgs 有限公司
yxgy 乙型肝炎
yxhb 樱花
yxhd 影响很大
yxhf 幽会
yxhh 幽魂
yxhj 英雄豪杰
yxhr 于心何忍
yxhy 遥相呼应
yxih 样
yxj 椰
yxja 椰
yxjc 以下简称
yxjd 以下几点
yxjf 桠
yxjg 以下几个
yxjh 幽静
yxjj 元宵佳节
yxjm 以下几个方面
yxjs 优秀教师
yxjx 样机
yxjz 运行机制
yxk 椅
yxky 椅
yxkz 有效控制
yxli 幽兰
yxlk 用心良苦
yxln 幽灵
yxlr 月下老人
yxlw 杨利伟
yxlx 杨柳
yxlz 一笑了之
yxmg 幽默
yxmi 幽美
yxmm 隐姓埋名
yxmp 幽冥
yxmx 杨梅
yxng 英雄难过美人关
yxpc 杨浦
yxpl 样品
yxpz 优秀品质
yxql 一泻千里
yxqy 一厢情愿
yxrc 优秀人才
yxrf 以小人之心度君子之腹
yxrf 忧心如焚
yxrh 意下如何
yxrw 英雄人物
yxry 营销人员
yxs 杳
yxsc 幽深
yxsc 一息尚存
yxsd 因小失大
yxsj 因循守旧
yxst 英雄所见略同
yxsw 游行示威
yxsx 杨树
yxsx 榆树
yxsy 亚硝酸盐
yxsz 样式
yxt 檐
yxtj 有效途径
yxtk 异想天开
yxtk 檐
yxtx 樱桃
yxv 樾
yxva 樾
yxwd 英雄无用武之地
yxwt 一些问题
yxxq 幽香
yxxs 有消息说
yxxu 幽闲
yxxw 一线希望
yxy; 幽雅
yxyr 有血有肉
yxys 烟消云散
yxys 越陷越深
yxyt 幽怨
yxyx 样样
yxyx 幽幽
yxyy 一心一意
yxyz 言行一致
yxzc 有形资产
yxzd 一席之地
yxzm 样子
yxzm 椅子
yxzp 优秀作品
yxzs 有限责任公司
yxzx 营销中心
yxzy 言下之意
yxzz 一笑置之
yy 应
yy, 疡
yy,c 疡
yy. 冶
yy.; 翊
yy.l 冶
yy/ 雍
yy/c 雍
yy; 痍
yy;; 痍
yy;z 疟
yyah 业余爱好
yyap 予以安排
yyau 应按
yybb 原原本本
yybc 音波
yybd 源源不断
yybf 一言不发
yybh 夜班
yybi 夜半
yybj 犹豫不决
yybl 营养不良
yybl 怏怏不乐
yybm 踊跃报名
yybp 亦被
yybs 依依不舍
yybs 有眼不识泰山
yybx 音标
yybx 语焉不详
yyby 应变
yybz 衣钵
yyc. 夜叉
yyc; 夜车
yycc 郁郁葱葱
yycf 应从
yycj 应酬
yyck 育成
yycm 应承
yycp 言词
yycq 言辞
yyct 育雏
yycx 衣橱
yyd 育
yyd 膺
yyd, 嬴
yyd. 应对
yyd; 应到
yydc 抑扬顿挫
yyde 应得
yyde 赢得
yydf 应当
yydg 赢
yydg 泱泱大国
yydg 洋洋大观
yydj 音带
yydk 夜大
yydl 意大利
yydl 以逸待劳
yydn 由易到难
yydp 音调
yydp 一语道破
yydq 应答
yyds 一衣带水
yydy 洋洋得意
yydy 一一对应
yydz 应当在
yye 彦
yyec 彦
yyej 一饮而尽
yyel 源源而来
yyeq 一跃而起
yyes 一拥而上
yyes 应运而生
yyet 育儿
yyf 夜
yyfd 衣服
yyff 应付
yyfo 於
yyfp 饔
yyfq 音符
yyfs 因噎废食
yyft 应负
yyft 夜
yyg 裔
yyg/ 应给
yygf 赟
yygf 夜光
yygf 瘿
yygg 蝇营狗苟
yygh 郁郁寡欢
yygj 应根据
yygp 应该
yygq 阴阳怪气
yygr 裔
yygs 应该是
yygx 衣柜
yygx 一意孤行
yyhf 意会
yyhg 雍和宫
yyhh 摇摇晃晃
yyhq 言和
yyht 一氧化碳
yyhy 以牙还牙
yyhz 亦或
yyhz 用意何在
yyi 痒
yyih 痒
yyj 痖
yyj, 衣架
yyjb 意见簿
yyjb 音节
yyjc 应激
yyjd 一言九鼎
yyjf 冶金
yyjf 痖
yyjg 意见
yyjj 言教
yyjm 音阶
yyjn 应届
yyjo 赢家
yyjp 衣襟
yyjq 一应俱全
yyjr 夜以继日
yyjs 夜景
yyjt 应急
yyjt 衣角
yyju 夜间
yyjv 意境
yyjx 意见箱
yyjy 应有尽有
yyjy 应将
yyk 颜
yyk. 疣
yykg 颜
yykj 应考
yykl 予以考虑
yyko 夜空
yykp 衣裤
yykv 奕
yykx 弈
yykz 亦可
yyl 言
yyl, 毅力
yyla 育龄
yylc 源远流长
yyle 韵律
yylf 衣领
yylg 夜里
yyli 颜料
yyli 意料
yyli 冶炼
yyli 衣料
yylj 严以律己
yylk 庸碌
yyll 夜路
yylm 阴雨连绵
yylp 言论
yylq 赢利
yylq 瘗
yyls 音量
yylx 遥遥领先
yylx 育林
yym 瘾
yym/ 韵母
yymb 夜幕
yymb 疫苗
yymb 育苗
yymg 衣帽
yymj 衣帽间
yymk 颜面
yymp 衣袂
yymt 瘾
yymy 夜盲
yymz 夜猫子
yymz 夜明珠
yyn 庸
yyn. 应能
yynf 意念
yynj 一言难尽
yynj 庸
yyny 旖旎
yyoq 应
yyp 意
yypa 音频
yypc 鹰派
yypj 应聘
yypo 意
yyq 旖
yyqc 咬牙切齿
yyqh 赢球
yyqk 旖
yyql 有缘千里
yyqo 疫情
yyqp 衣裙
yyqq 意气
yyqv 意趣
yyqx 赢棋
yyqz 疫区
yyr 兖
yyr. 兖
yyrf 庸人
yyrj 应用软件
yyrl 余音绕梁
yyro 音容
yyrt 毅然
yyry 营业人员
yys 音
yysd 意识到
yysf 衣裳
yysf 庸俗
yysg 意思
yysg 一语双关
yysh 熠熠生辉
yysh 夜生活
yysj 业余时间
yysj 音速
yysj 应声
yysm 应收
yyso 壅塞
yysp 意识
yysp 衣衫
yysr 营业收入
yyss 严严实实
yyss 洋洋洒洒
yyss 应是
yyst 颜色
yyst 夜色
yyst 衣饰
yyst 音色
yysy 夜市
yysz 应试者
yyt 毅
yyt. 疫
yyt. 毅
yytc 衣
yytc 鹰潭
yytg 意图
yyth 痈
yytp 鹰
yytp 言谈
yyts 勇于探索
yyty 韵
yyv 壅
yyw 亦
yyw; 庾
yyw; 瘐
yyw; 裒
yywc 亦
yywd 一言为定
yywh 有益无害
yywi 应为
yywj 引以为戒
yywj 意犹未尽
yywl 意味
yywl 韵味
yywm 有勇无谋
yywq 衣物
yywq 遥遥无期
yywr 引以为荣
yyws 夜晚
yywt 意外
yywy 有意无意
yywy 韵文
yywz 意味着
yyx/ 夜巡
yyxe 言行
yyxe 夜行
yyxf 音像
yyxh 音形
yyxk 夜袭
yyxl 音响
yyxo 夜宵
yyxp 衣袖
yyxp 音讯
yyxq 音箱
yyxs 意向书
yyxt 意象
yyxw 意向
yyxx 意向性
yyxx 夜校
yyxx 意想
yyxy 牙牙学语
yyxy 音效
yyy 瘀
yyy, 瘀
yyy. 应以
yyy/ 应约
yyyb 溢于言表
yyyb 夜莺
yyyc 意淫
yyyc 夜游
yyyd 有氧运动
yyyg 育婴
yyyh 音乐会
yyyi 意义
yyyi 癔
yyyj 音乐家
yyyk 意愿
yyyk 应有
yyyl 愈演愈烈
yyym 有勇有谋
yyyp 言语
yyyp 音译
yyyq 育秧
yyyr 意欲
yyys 意义上
yyys 跃跃欲试
yyyt 应用
yyyt 音乐
yyyv 音域
yyyw 应邀
yyyx 奄奄一息
yyyx 一言一行
yyyy 痒痒
yyyy 音韵
yyyy 隐隐约约
yyyy 应用于
yyyz 摇摇欲坠
yyyz 一言以蔽之
yyyz 庸医
yyyz 欲言又止
yyza 应战
yyzd 洋洋自得
yyze 应征
yyze 音质
yyze 言犹在耳
yyzh 夜总会
yyzi 衣着
yyzj 意志
yyzk 意在
yyzl 意志力
yyzp 言之
yyzr 运用自如
yyzs 芸芸众生
yyzt 意旨
yyzx 有言在先
yyzz 营业执照
yz 银
yz 一
yz, 钖
yz,c 钖
yz; 钺
yz;, 钺
yz;d 铘
yzam 拥政爱民
yzb 钇
yzb, 一边
yzba 一步
yzbb 一步步
yzbc 一字不差
yzbe 一般
yzbf 医保
yzbh 一帮
yzbi 一半
yzbj 一知半解
yzbj 用之不竭
yzbk 一百
yzbm 邮政编码
yzbp 一遍
yzbq 一笔
yzbr 一般人
yzbs 一把手
yzbt 与众不同
yzbu 一把
yzbw 银白
yzbx 一般性
yzby 一部
yzbz 一辈子
yzcc 一次次
yzcf 一侧
yzcg 研制成功
yzck 一场空
yzcn 一刹那
yzcp 优质产品
yzcs 银川市
yzct 一处
yzcv 一场
yzcw 银川
yzcx 一次性
yzcy 养尊处优
yzcy 一次
yzcy 义正辞严
yzd 钥
yzd. 一对
yzd; 一顿
yzda 一点
yzdb 一大半
yzdb 一大步
yzdc 一滴
yzde 一点儿
yzde 医德
yzdf 一代
yzdg 一等功
yzdg 一睹
yzdh 一定会
yzdi 一道
yzdj 一带
yzdj 一等奖
yzdk 医大
yzdl 一定量
yzdn 一定能
yzdo 一定
yzdp 一大批
yzdp 一大片
yzdp 越俎代庖
yzdq 一刀切
yzdr 一代人
yzds 一旦
yzdt 一朵
yzdv 一堆
yzdw 一段
yzdx 一枝独秀
yzdy 一定要
yzdz 一大早
yzeh 一二
yzej 银耳
yzf, 一发
yzfc 宇宙飞船
yzff 一份
yzfg 一幅
yzfm 一方面
yzfr 一番
yzfv 一封
yzfw 优质服务
yzfy 一方
yzfz 一副
yzg 铀
yzg/ 一贯
yzgd 一股
yzgf 一个
yzgf 远走高飞
yzgf 银光
yzgg 一个个
yzgj 一共
yzgj 铀
yzgk 铟
yzgl 一骨碌
yzgn 一股脑
yzgr 一个人
yzgx 银根
yzgy 一共有
yzgz 一贯制
yzh 钰
yzha 钰
yzhc 银河
yzhe 银行
yzhe 一会儿
yzhg 一回
yzhs 油嘴滑舌
yzhu 医护
yzhx 银河系
yzhy 银行业
yzi 镒
yzik 镒
yzj/ 一级
yzjb 一九八
yzjd 一季度
yzjf 一件
yzjh 一句话
yzjh 银监会
yzjn 一局
yzjo 一举
yzjr 一家人
yzjs 一句
yzjs 一件事
yzjt 一九
yzjx 一针见血
yzjy 银奖
yzjz 一家子
yzk 铕
yzkd 铕
yzkf 研制开发
yzkg 一颗
yzkk 银矿
yzkl 一口
yzkq 一口气
yzkq 医科
yzks 一开始
yzkv 一块
yzkw 一纸空文
yzkx 一棵
yzky 一刻
yzl; 一辆
yzlb 一览表
yzlc 一流
yzlc 一连串
yzld 一脸
yzle 一律
yzlf 医疗费
yzlf 一例
yzlg 一两个
yzli 一类
yzlj 银两
yzll 一路
yzls 一路上
yzly 医疗
yzly 一溜烟
yzlz 一揽子
yzm 郾
yzmb 银幕
yzmk 一面
yzmm 一幕幕
yzms 一码事
yzmt 一名
yzmu 一门
yzmx 一枚
yzmy 一直没有
yzn; 银
yznq 一年
yzpc 一派
yzpe 一盘
yzpi 一瞥
yzpn 银屏
yzpp 一批批
yzpq 一篇
yzpu 一批
yzpw 银牌
yzpy 一旁
yzpz 一匹
yzq 医
yzq; 一切
yzqg 一曲
yzqg 一圈
yzqj 一期
yzqk 医
yzqn 一群
yzqq 一千
yzqs 颐指气使
yzqs 以质取胜
yzqv 一起
yzqy 一齐
yzqz 一清早
yzr 铫
yzr, 一如
yzr; 铫
yzrf 一任
yzrs 一日
yzrw 一致认为
yzs. 一双
yzs/ 一丝
yzsd 医师
yzse 一所
yzsf 庸脂俗粉
yzsg 一瞬
yzsg 铅山
yzsi 一首
yzsj 医术
yzsj 一瞬间
yzsl 一霎
yzsm 严正声明
yzsn 一霎那
yzso 一审
yzsp 一说
yzsq 一生
yzsq 医生
yzsq 一手
yzss 钥匙
yzss 英姿飒爽
yzst 银色
yzsw 一身
yzsx 铅山县
yzsz 一生中
yzsz 一式
yzt 铅
yzt. 一台
yzt/ 一统
yztf 一体
yztg 一同
yzth 一体化
yztj 一条街
yztk 一套
yztl 一条龙
yztl 铅
yzto 一头
yztp 硬着头皮
yztt 一条
yztx 一条心
yzty 一致同意
yztz 一团糟
yzw; 一万
yzwf 一窝蜂
yzwh 严重危害
yzwj 有增无减
yzwk 一碗
yzwl 一味
yzwn 一万年
yzws 医务室
yzwt 医务
yzwt 原则问题
yzx/ 一线
yzxa 一些
yzxc 语重心长
yzxc 一小撮
yzxe 一行
yzxh 一席话
yzxj 一项
yzxl 一系列
yzxo 医学
yzxp 一心
yzxq 一笑
yzxs 一小时
yzxt 一席谈
yzxw 一向
yzxw 云蒸霞蔚
yzxx 邮政信箱
yzxy 医学院
yzxz 一下子
yzy 铱
yzyb 医药
yzyc 一张一弛
yzyd 严阵以待
yzyf 医药费
yzyf 一亿
yzyg 一眼
yzyh 银元
yzyi 镱
yzyj 一致意见
yzyk 一页
yzyl 一直以来
yzyl 言之有理
yzym 医院
yzyq 一夜情
yzyt 医用
yzyt 镛
yzyt 铱
yzyw 原汁原味
yzyw 言之有物
yzyx 一样
yzyy 一夜
yzz/ 一组
yzz; 一致
yzzc 医治
yzzc 有志者事竟成
yzze 银质
yzzg 一中
yzzh 一盏
yzzj 一直
yzzk 饮鸩止渴
yzzl 医嘱
yzzl 一只
yzzm 一阵
yzzm 银子
yzzn 一张
yzzo 一字
yzzs 一直是
yzzt 一周
yzzx 一致性
yzzy 一座
